date,location,plant_id,height_cm,short_stems,ft_stems,vigor,notes,inflorescences,fruits,avg_height,avg_width,zone,maternal_accession,lineage
2/21/20,Plover Area,520,54,10+,4,1,,,,,,Slope,A3041,6
2/21/20,Plover Area,521,26,9,2,2,,,,,,Slope,A3041,6
2/21/20,Plover Area,601,28,10+,1,1,,,,,,Slope,B29R,9
2/21/20,Plover Area,602,70,8,6,1,,,,,,Slope,A3041,6
2/21/20,Plover Area,603,65,7,4,1,,,,,,Slope,B227,5
2/21/20,Plover Area,604,X,X,X,4,burried,,,,,Slope,A3002,10
2/21/20,Plover Area,605,32,0,4,3,,,,,,Slope,A3003,16
2/21/20,Plover Area,606,73,6,5,1,,,,,,Slope,A3051,11
2/21/20,Plover Area,607,X,X,X,4,burried,,,,,Swale,A3051,7
2/21/20,Plover Area,608,X,X,X,4,burried,,,,,Slope,A3003,16
2/21/20,Plover Area,609,25,12,3,1,,,,,,Slope,B4001,1
2/21/20,Plover Area,610,X,X,X,4,burried,,,,,Slope,B29R,18
2/21/20,Plover Area,611,19,8,2,2,,,,,,Slope,B227,5
2/21/20,Plover Area,612,29,6,5,1,,,,,,Ridge,B4001,15
2/21/20,Plover Area,613,43,7,3,2,,,,,,Slope,A3015,3
2/21/20,Plover Area,614,33,8,7,1,,,,,,Slope,B4001,15
2/21/20,Plover Area,615,51,8,3,1,,,,,,Ridge,B227,17
2/21/20,Plover Area,616,67,6,4,1,,,,,,Slope,A2051,2
2/21/20,Plover Area,617,21,9,2,2,,,,,,Swale,A3041,6
2/21/20,Plover Area,618,51,9,3,1,,,,,,Slope,B227,17
2/21/20,Plover Area,619,43,0,1,3,,,,,,Swale,,
2/21/20,Plover Area,620,39,7,1,2,,,,,,Slope,,
2/21/20,Plover Area,621,23,8,3,1,,,,,,Slope,A3051,11
2/21/20,Plover Area,622,49,9,1,2,,,,,,Slope,A2051,13
2/21/20,Plover Area,623,61,6,1,2,,,,,,Slope,A2051,13
2/21/20,Plover Area,624,X,X,X,4,,,,,,Swale,B227,17
2/21/20,Plover Area,625,48,10+,2,2,,,,,,Slope,A2051,13
2/21/20,Plover Area,626,25,6,3,2,,,,,,Slope,A2051,13
2/21/20,Plover Area,701,20,4,2,2,,,,,,Ridge,B29R,18
2/21/20,Plover Area,702,27,11,4,1,,,,,,Slope,B227,17
2/21/20,Plover Area,703,24,10+,2,1,,,,,,Slope,A3051,7
2/21/20,Plover Area,704,27,10+,4,1,,,,,,Slope,B227,17
2/21/20,Plover Area,705,20,8,3,2,,,,,,Slope,B29R,18
2/21/20,Plover Area,706,48,6,5,1,,,,,,Slope,A3051,7
2/21/20,Plover Area,707,49,10+,4,1,,,,,,Slope,B29R,9
2/21/20,Plover Area,708,63,10+,4,1,,,,,,Slope,A2051,2
2/21/20,Plover Area,709,10,5,1,2,,,,,,Slope,B29R,9
2/21/20,Plover Area,710,33,10+,3,1,,,,,,Ridge,A3002,10
2/21/20,Plover Area,711,29,10+,1,2,,,,,,Slope,A3003,8
2/21/20,Plover Area,712,22,8,1,1,,,,,,Slope,A3003,16
2/21/20,Plover Area,713,X,X,X,4,,,,,,Swale,A3051,11
2/21/20,Plover Area,714,11,5,0,2,,,,,,Slope,A2051,2
2/21/20,Plover Area,715,28,10+,2,1,,,,,,Slope,A3041,6
2/21/20,Plover Area,716,18,6,2,2,,,,,,Slope,B29R,18
2/21/20,Plover Area,717,X,X,X,4,,,,,,Swale,A3002,10
2/21/20,Plover Area,718,X,X,X,4,,,,,,Swale,A3002,10
2/21/20,Plover Area,719,21,10+,3,1,,,,,,Slope,A3003,16
2/21/20,Plover Area,720,43,10+,2,1,,,,,,Slope,A2051,13
2/21/20,Plover Area,721,38,2,3,3,,,,,,Slope,A3002,10
2/21/20,Plover Area,722,15,8,3,2,,,,,,Slope,A3051,11
2/21/20,Plover Area,723,21,10+,2,1,,,,,,Slope,A3041,12
2/21/20,Plover Area,724,X,X,X,4,,,,,,Swale,A3002,10
2/21/20,Plover Area,725,X,X,X,4,,,,,,Swale,A3003,8
2/21/20,Plover Area,726,30,10+,2,2,,,,,,Slope,A3015,14
2/21/20,Plover Area,727,X,X,X,4,,,,,,Slope,B4001,15
2/21/20,Plover Area,728,X,X,X,4,,,,,,Slope,A2051,13
2/21/20,Plover Area,801,19,0,1,3,,,,,,Swale,A3003,8
2/21/20,Plover Area,802,24,6,7,1,,,,,,Slope,B29R,9
2/21/20,Plover Area,803,25,10+,3,1,,,,,,Slope,B29R,9
2/21/20,Plover Area,804,24,12,3,1,,,,,,Slope,B29R,9
2/21/20,Plover Area,805,94,4,6,1,,,,,,Slope,A3003,8
