date,location,plant_id,vigor,inflorescences,fruits,avg_height,avg_width,notes,zone
8/27/20,Plover Area,801,1,68,1k - 5k,41,82,,Swale
8/27/20,Plover Area,802,1,930,<10k,105,210,,Slope
8/27/20,Plover Area,803,1,900,<10k,101,202,,Slope
8/27/20,Plover Area,804,2,600,<10k,74,148,pathogen,Slope
8/27/20,Plover Area,805,1,600,<10k,104,208,,Slope
8/27/20,Plover Area,806,1,600,<10k,104,208,,Slope
8/27/20,Plover Area,807,1,600,<10k,104,208,,Ridge
8/27/20,Plover Area,808,1,600,<10k,104,208,,Slope
8/27/20,Plover Area,809,1,600,<10k,104,208,,Ridge
8/27/20,Plover Area,810,1,600,<10k,104,208,,Ridge
8/27/20,Plover Area,811,1,600,<10k,104,208,,Slope
8/27/20,Plover Area,812,1,600,<10k,104,208,,Ridge
8/27/20,Plover Area,813,1,600,<10k,104,208,,Slope
8/27/20,Plover Area,814,1,600,<10k,104,208,,Slope
8/27/20,Plover Area,815,1,600,<10k,104,208,,Slope
8/27/20,Plover Area,816,1,600,<10k,104,208,,Ridge
8/27/20,Plover Area,817,1,600,<10k,104,208,,Slope
8/27/20,Plover Area,818,1,675,<10k,106,212,,Slope
8/27/20,Plover Area,819,1,675,<10k,120,240,,Slope
8/27/20,Plover Area,820,1,330,5k - 10k,110,220,,Slope
8/27/20,Plover Area,821,1,90,1k - 5k,51,102,,Swale
8/27/20,Plover Area,822,4,X,X,X,X,dead,Swale
8/27/20,Plover Area,901,1,420,<10k,81,162,,Slope
8/27/20,Plover Area,902,1,450,<10k,99,198,,Slope
8/27/20,Plover Area,903,1,840,<10k,113,226,,Slope
8/27/20,Plover Area,904,4,X,X,X,X,dead,Swale
8/27/20,Plover Area,905,1,800,<10k,118,236,,Slope
8/27/20,Plover Area,906,4,X,X,X,X,dead,Swale
8/27/20,Plover Area,907,4,X,X,X,X,dead,Swale
8/27/20,Plover Area,908,4,X,X,X,X,dead,Swale
8/27/20,Plover Area,909,1,800,<10k,~100,~200,,Slope
8/27/20,Plover Area,910,1,800,<10k,~100,~200,,Slope
8/27/20,Plover Area,911,1,650,<10k,123,246,,Slope
8/27/20,Plover Area,912,1,126,1k - 5k,63,126,,Swale
8/27/20,Plover Area,913,1,810,<10k,119,238,,Slope
8/27/20,Plover Area,914,1,800,<10k,98,196,,Slope
8/27/20,Plover Area,1001,1,510,<10k,79,158,,Slope
8/27/20,Plover Area,1002,1,660,<10k,99,198,,Slope
8/27/20,Plover Area,1003,1,660,<10k,~100,~200,,Slope
8/27/20,Plover Area,1004,1,600,<10k,117,234,,Slope
8/27/20,Plover Area,1005,1,630,<10k,~100,~200,,Ridge
8/27/20,Plover Area,1006,1,~600,<10k,~100,~200,,Slope
8/27/20,Plover Area,1007,1,~601,<10k,~101,~200,,Ridge
8/27/20,Plover Area,1008,1,~602,<10k,~102,~200,,Slope
8/27/20,Plover Area,1009,1,~603,<10k,~103,~200,,Ridge
8/27/20,Plover Area,1010,1,~604,<10k,~104,~200,,Slope
8/27/20,Plover Area,1011,1,950,<10k,103,206,,Ridge
8/27/20,Plover Area,1012,1,120,1k - 5k,64,128,,Slope
8/27/20,Plover Area,1013,1,580,<10k,85,170,,Ridge
8/27/20,Plover Area,1014,1,300,5k - 10k,77,154,,Ridge
8/27/20,Plover Area,1015,1,180,1k - 5k,65,130,,Ridge
8/27/20,Plover Area,1016,1,240,5k - 10k,77,154,,Slope
8/27/20,Plover Area,1017,1,20,100- 1k,45,90,,Ridge
8/27/20,Plover Area,1018,3,0,0,38,76,pathogen,Ridge
8/27/20,Plover Area,1019,1,105,1k - 5k,61,122,,Ridge
8/27/20,Plover Area,1020,1,150,1k - 5k,66,132,,Ridge
8/27/20,EEM Willows,1101,1,476,<10k,106,212,,Slope
8/27/20,EEM Willows,1102,2,36,1k,54,108,predation by snails,Slope
8/27/20,EEM Willows,1103,3,60,1k - 5k,57,114,,Ridge
8/27/20,EEM Willows,1104,1,260,5k - 10k,93,186,,Slope
8/27/20,EEM Willows,1105,4,X,X,X,X,dead,Slope
8/27/20,EEM Willows,1106,1,170,1k - 5k,114,228,,Ridge
8/27/20,Plover Area,A,1,400,1k - 5k,86,172,,
8/27/20,Plover Area,B,1,340,5k - 10k,110,220,,
8/27/20,Plover Area,C,1,432,5k - 10k,98,196,,
8/27/20,Plover Area,D,1,221,1k - 5k,92,184,,
8/27/20,Plover Area,E,1,32,100 - 1k,46,92,,
8/27/20,Plover Area,F,1,208,5k - 10k,70,140,,
8/27/20,Plover Area,G,1,442,5k - 10k ,98,196,,
8/27/20,Plover Area,H,1,432,<10k,110,220,,
